name,description,effect,slot,stamina_cost,bonus,group,location,dlc
Miriam's Vanishing,"Sorcery of a preceptor who served the Carian royal family. Used to conceal oneself in a glintstone haze, reappearing after a few seconds have passed. Directional inputs determine where one will reappear. The curator of the study hall was such a master of this sorcery that it now bears her name.",Conceals self in a glintstone haze,1,10,Carian,Utility,"Can be purchased from Count Ymir at the Cathedral of Manus Metyr for 10,000 Runes [Map Link]",1
Glintblade Trio,"An old sorcery of the Carian royal family. Creates a sigil overhead, from which three enemy-seeking glintblades appear after a brief delay. This sorcery can be used while in motion. Charging increases the delay. The prototypical form of sword-phalanx sorceries saw a different subsequent refinement in the realm of shadow.",Creates sigil that forms three projectile glintblades after delay,1,22,Carian,Damage,"The Glintblade Trio spell is found by looting it off a corpse inside Castle Ensis. After passing through the iron gate just beyond the chapel in the midpoint of the castle, then dropping off the side of the cliff and climbing up the ladders to the rooftop of the chapel. You can then drop down on the north side of the roof to get to the corpse hanging over a ledge that has the spell. [Map Link]",1
Rellana's Twin Moons,"Sorcery of Rellana, the Twin Moon Knight. Associated with a Carian princess. Incarnate overlapping twin moons which strike the ground one after the other, violently shaking the earth with moonlight. In her childhood, she and her elder sister Rennala met these moons. Overlapping, as though nestled against one another.",Incarnate twin moons and repeatedly strike the ground,2,32,Full Moon,Damage,Can be selected as one of the possible rewards when trading Remembrance of the Twin Moon Knight with Enia at the Roundtable Hold.,1
Glintstone Nail,"Glintstone sorcery of Count Ymir, High Priest. One of the finger sorceries said to have been discovered in a hallowed ruin. Flings a magic nail that crumbles during flight. Charging increases potency. Count Ymir boasts that this is mere child's play, an echo of a greater truth.",Fires a shattering magic nail,1,21,Finger,Damage,Cathedral of Manus Metyr: Available for purchase from Count Ymir after sounding the first finger bell.,1
Glintstone Nails,"Glintstone sorcery of Count Ymir, High Priest. One of the finger sorceries said to have been discovered in a hallowed ruin. Flings multiple magic nails that crumble during flight. Charging increases potency. Count Ymir boasts that this is mere child's play, an echo of a greater truth.",Fires multiple shattering magic nails,1,26,Finger,Damage,Cathedral of Manus Metyr: Available for purchase from Count Ymir after sounding the first finger bell.,1
Blades of Stone,"Gravity-manipulating sorcery of Commander Gaius. Pulls blade-like clumps of rock from the earth. Charging increases potency. Gaius and Radahn were good rivals in their youth, and this sorcery is a product of their friendly competition.",Summons rock blades from the earth,2,29,Gravity,Damage,Can be selected as one of the possible rewards when trading Remembrance of the Wild Boar Rider with Enia at the Roundtable Hold.,1
Gravitational Missile,One of the glintstone sorceries that manipulates gravitational forces. Fires a gravitational projectile that pulls in enemies before finally exploding. Charging increases potency. Said to have originated in the lightless dark far beyondthe home of the fallingstar beasts.,Fires a bolt of gravity that pulls in enemies,1,29,Gravity,Damage,"Dropped by the Fallingstar Beast, who can be found in the crater in Fingerstone Hill. [Elden Ring Shadow of the Erdtree Map]",1
Mantle of Thorns,"Sorcery of those who abandoned the practice of incantations after devout faith rewarded them with only despair. Covers the caster in impenetrable thorns grown from the Scadutree. Once covered, dodge rolls will damage enemies. The image of the misshapen Scadutree is an edict: Spurn all that exists. Wound all that exists. For we have been abandoned.",Covers self with the Scadutree's impenetrable thorns,1,22,Scadutree,Buff,"Shadow Keep: This item drops from the Lesser Ulcerated Spirit enemy that emerges beneath the ground, near the large tree. [Map Link]",1
Impenetrable Thorns,Sorcery of those who abandoned the practice of incantations after devout faith rewarded them with only despair. Summons the Scadutree's impenetrable thorns from the ground. This sorcery can be used repeatedly. The image of the twisted Scadutree is an edict: Denounce their ways. Do them harm. For they have abandoned us.,Summons the Scadutree's impenetrable thorns from the earth,1,22,Scadutree,Damage,"Shadow Keep: Accessible after rotating the specimen statues. From the Storehouse, Seven Floor grace, climb rotated beams until you reach outside. Drop down the ledge to the bat below.",1
Rings of Spectral Light,"Sorcery practiced by the keepers of the spiritgraves, where all death ultimately drifts. Creates rings of spectral light that fire in unison. Charging enhances potency. The rings of light have the same qualities as ghostflame, and deal magic damage while also causing frost buildup.",Creates rings of spectral light that fire in unison,1,21,Death,Damage,Looted from the altar by the giant bird statue after defeating several birds in Charo's Hidden Grave [Map Link],1
