name,description,effect,slot,stamina_cost,bonus,group,location,dlc
Furious Blade of Ansbach,"Incantation of Ansbach, Pureblood Knight. Produces a bloodflame blade from the side of the hand, then lunges at enemies to cleave through them. Charge to increase the number of slashes. Markedly different from the finessed swordplay of the dynast, this is an aggressive last resort of an incantation that gave rise to Ansbach's fearsome reputation.",Cleaves through enemies with bloodflame blade summoned from side of the hand,1,21,Blood,Damage,"Complete Sir Ansbach's questline all the way through the end, and side with him when facing Leda, and then Promised Consort Radahn/ Radahn, Consort of Miquella. After the fight is over, Sir Ansbach's body will be near the site of grace, alongside with his equipment and this Incantation. [Map Link]",1
Heal from Afar,"An Erdtree incantation discovered in the realm of shadow. Fires a projectile toward distant allies that greatly restores HP on contact. Even when far beyond, far out of sight, the Erdtree will surely give us its blessing.",Greatly heals HP for distant allies the spell reaches,1,40,Two Fingers,Healing,"This spell can be looted on the ground by the foot of an underground golden tree. It is located in a cave path to the base of the Rauh Ruins, north-northeast of the Moorth Ruins in Scadu Atlus. [Map Link]",1
Aspects of the Crucible: Thorns,"Aspect of the Crucible that manifested in golden hippopotami. Creates a bristling mass of thorn-like fur on the caster's back before scouring the area by rolling around on the ground. Charging increases potency. In an age long past, before this land was enshrouded in shadow, the vitality of the Crucible flourished. Remains of this can be seen in the ancient ruins.",Creates a mass of bristling thorns on back to scour the area,1,29,Erdtree,Damage,Dropped by the Golden Hippopotamus by going up the elevator in the Shadow Keep Main Gate. [Elden Ring Shadow of the Erdtree Map],1
Aspects of the Crucible: Bloom,"Aspect of the Crucible discovered in the ancient ruins. Creates a miranda flower on one's chest before calling down a rain of light. Charging increases potency. In an age long past, before this land was enshrouded in shadow, the vitality of the Crucible flourished.",Creates a miranda flower on chest to summon rain of light,1,20,Erdtree,Damage,Can be found on a corpse near the Giant Miranda Sprout near the Ravine North Site of Grace [Map Link],1
Minor Erdtree,"Secret incantation of Queen Marika. Only the kindness of gold, without Order. Creates a small, illusory Erdtree that continuously restores the HP of nearby allies. Marika bathed the village of her home in gold, knowing full well that there was no one to heal.",Continuously heals allies in the area,2,30,Erdtree,Healing,Located at the Shaman Village in the Scaduview region. The spell can be found in the field of flowers.[Map Link],1
Land of Shadow (Incantation),"Incantation originating from Scadutree avatars. Creates a hail of golden projectiles which are fired toward foes after a brief delay. This incantation channels the force of the Scadutree's power, and its gold is accompanied by shadow.",Fires a hail of golden projectiles toward foes,1,48,Erdtree,Damage,Can be selected as one of the possible rewards when tradingRemembrance of the Shadow Sunflower with Enia at the Roundtable Hold.,1
Wrath from Afar,"An Erdtree incantation discovered in the realm of shadow. Fires a golden shockwave that knocks back nearby foes. Charging increases the size of the shockwave. When the Elden Ring was shattered, the people of the realm of shadow felt it tooand feared it as a sign of the Erdtree's wrath.",Fires a golden shockwave that knocks back foes,1,24,Erdtree,Damage,"Take the elevator at the Storehouse, Loft site of grace in Shadow Keep. Once you are on the upper level, turn left, and turn left again. As soon as you can turn right. Beware of the bat hanging from the ceiling. Reach the other side, and take the ladder up. Turn left and move towards the area in which there is a giant gear (the one that does not have a bat on it), once you are aligned fall down to find the spell behind the column. [Elden Ring Shadow of the Erdtree Map Link]",1
Light of Miquella,"The strength of Miquella upon his deific return, wielded as an incantation. Annihilates foes with a pillar of light. Miquella sought to accept all that was and would be, but found one that refused to be embraced. No wonder, as one god, and one king consort, is all the world needs.",Annihilates foes with a pillar of light,2,60,Miquellan,Damage,Location goes here...,1
Multilayered Ring of Light,"Incantation of those who served Miquella. Produces a multilayered ring of golden light and fires it forwards, inflicting continuous damage on those struck by it. Charging increases potency. This light-ring incantation was cultivated by a tradition separate from Golden Order fundamentalism.",Fires a multilayered golden ring of light that continuously inflicts damage,1,28,Miquellan,Damage,Location goes here...,1
Roar of Rugalea,"An incantation of what is jokingly called ""the bear communion."" Channels the power of Rugalea, the great red bear. Transform oneself into a great red bear and emit a mighty roar. Charging increases potency. An incantation that is more akin to the divine invocation of the hornsent than it is to the Dragon Communion. Only through desperate battle with the feral wild can one discover a god unique to oneself.",Channels great red bear to emit a furious roar,1,35,Bestial,Damage,"Dropped by a large bear northwest of the Ravine North Site of Grace, in the wooded area where there are many large bears. [See Shadow of the Erdtree Map]",1
Knight's Lightning Spear,"One of the incantations of the capital's ancient dragon cult. Summons a lightning spear while also manifesting ancient dragon crests. On throwing the spear, the crests will launch additional spears. Charge to increase the number of crests. An incantation that was taught only to the most accomplished knights, and now a lost art in the Lands Between.",Hurls lightning spear while firing additional spears from ancient dragon crests,1,31,Dragon Cult,Damage,"Scorpion River Catacombs: In the big hall with the set of eyes that inflict deathblight upon you, there is a ledge on the right side which lets you cross to the other side. Run across the ledge while hugging the wall and then go inside the opening behind the set of eyes. You can find the incantation in the room directly in front of you.",1
Dragonbolt of Florissax,"Special incantation of the ancient dragon Florissax. Calls down red lightning to bolster the caster and nearby allies. While enrobed with red lightning, all forms of damage negation (including physical) are increased. This also increases damage negation while guarding as an additional effect. There was a time when the priestess never knew love, and thus never used this incantation herself.",Calls down red lightning to bolster self and nearby allies,1,20,Dragon Cult,Buff,Location goes here...,1
Electrocharge,"One of the incantations of the capital's ancient dragon cult. Calls down lightning to charge the caster's body. While charged, electric shocks will strike the area several times. Charging increases potency. The origin of incantations that bolster the body with lightning, and now a lost art in the Lands Between.",Calls down lightning to charge body with electricity,1,28,Dragon Cult,Damage,Location goes here...,1
Bayle's Tyranny,"One of the greatest Dragon Communion incantations. Harnesses the fearsome power of Bayle the Dread. Channels the form of the dread dragon to emit a mighty roar accompanied by a heatwave burst, causing violent eruptions of fire in the area. Even after being consumed, the throbbing heart of Bayle continues to resist its subjugation, never weakening. One day, the fire within will consume the very body and soul of its Communion devourer. One day.",Channels dread dragon to roar with a heatwave blast,2,72,Dragon Communion,Damage,Heart of Bayle can be used to at the Grand Altar of Dragon Communion to trade for Bayle's Flame Lightning or Bayle's Tyranny. [See Shadow of the Erdtree Map],1
Bayle's Flame Lightning,"One of the greatest Dragon Communion incantations. Harnesses the fearsome power of Bayle the Dread. Channels the form of the dread dragon in right arm to smash foes with an exposed talon bone coursing with flame lightning. Even after being consumed, the throbbing heart of Bayle continues to resist its subjugation, never weakening. One day, the fire within will consume the very body and soul of its Communion devourer. One day.",Channels dread dragon to strike with flame-lightning-infused talon bone,2,35,Dragon Communion,Damage,Heart of Bayle can be used to at the Grand Altar of Dragon Communion to trade for Bayle's Flame Lightning or Bayle's Tyranny. [See Shadow of the Erdtree Map],1
Ghostflame Breath,"One of the incantations of Dragon Communion. Transforms caster into a dragon to spew ghostflame breath. Charging extends duration. The land of spiritgraves is home to all manner of dead, and even the corpses of fallen dragons found their way there. Several of them were endowed with such vivacity that even in death, they could not fully die.",Channels dragon to spew ghostflame breath,1,60,Dragon Communion,Damage,Location goes here...,1
Rotten Butterflies,"Incantation used by Romina, Saint of the Bud. Summons a myriad of butterflies while performing a gentle twirl. The butterflies break apart on contact, scattering rot and setting off a chain reaction. The scarlet butterflies are as the Goddess of Rot's wings. Bereft of a master, they were soothed by Romina, who reached out to them.",Summons countless butterflies to scatter rot,1,50,Servants of Rot,Damage,Can be selected as one of the possible rewards when trading Remembrance of the Saint of the Bud with Enia at the Roundtable Hold.,1
